country,flag,locale,rank,status,checked_at
한국,🇰🇷,ko-kr,4.0,found,2026-08-29T16:53:42+09:00
브라질,🇧🇷,pt-br,10.0,found,2026-08-29T16:53:42+09:00
오만,🇴🇲,en-om,15.0,found,2026-08-29T16:53:42+09:00
인도,🇮🇳,en-in,15.0,found,2026-08-29T16:53:42+09:00
말레이시아,🇲🇾,en-my,16.0,found,2026-08-29T16:53:42+09:00
사우디아라비아,🇸🇦,en-sa,18.0,found,2026-08-29T16:53:42+09:00
터키,🇹🇷,en-tr,19.0,found,2026-08-29T16:53:42+09:00
스페인,🇪🇸,es-es,21.0,found,2026-08-29T16:53:42+09:00
홍콩,🇭🇰,en-hk,21.0,found,2026-08-29T16:53:42+09:00
인도네시아,🇮🇩,en-id,21.0,found,2026-08-29T16:53:42+09:00
독일,🇩🇪,de-de,22.0,found,2026-08-29T16:53:42+09:00
이탈리아,🇮🇹,it-it,23.0,found,2026-08-29T16:53:42+09:00
스웨덴,🇸🇪,sv-se,24.0,found,2026-08-29T16:53:42+09:00
루마니아,🇷🇴,en-ro,24.0,found,2026-08-29T16:53:42+09:00
우크라이나,🇺🇦,ru-ua,25.0,found,2026-08-29T16:53:42+09:00
폴란드,🇵🇱,pl-pl,26.0,found,2026-08-29T16:53:42+09:00
프랑스,🇫🇷,fr-fr,26.0,found,2026-08-29T16:53:42+09:00
포르투갈,🇵🇹,pt-pt,27.0,found,2026-08-29T16:53:42+09:00
바레인,🇧🇭,en-bh,28.0,found,2026-08-29T16:53:42+09:00
엘살바도르,🇸🇻,es-sv,28.0,found,2026-08-29T16:53:42+09:00
쿠웨이트,🇰🇼,en-kw,28.0,found,2026-08-29T16:53:42+09:00
태국,🇹🇭,en-th,29.0,found,2026-08-29T16:53:42+09:00
레바논,🇱🇧,en-lb,31.0,found,2026-08-29T16:53:42+09:00
남아공,🇿🇦,en-za,32.0,found,2026-08-29T16:53:42+09:00
헝가리,🇭🇺,en-hu,32.0,found,2026-08-29T16:53:42+09:00
아랍에미리트,🇦🇪,en-ae,32.0,found,2026-08-29T16:53:42+09:00
네덜란드,🇳🇱,nl-nl,32.0,found,2026-08-29T16:53:42+09:00
아르헨티나,🇦🇷,es-ar,33.0,found,2026-08-29T16:53:42+09:00
칠레,🇨🇱,es-cl,35.0,found,2026-08-29T16:53:42+09:00
그리스,🇬🇷,en-gr,35.0,found,2026-08-29T16:53:42+09:00
이스라엘,🇮🇱,en-il,36.0,found,2026-08-29T16:53:42+09:00
덴마크,🇩🇰,en-dk,36.0,found,2026-08-29T16:53:42+09:00
벨기에,🇧🇪,nl-be,37.0,found,2026-08-29T16:53:42+09:00
콜롬비아,🇨🇴,es-co,37.0,found,2026-08-29T16:53:42+09:00
스위스,🇨🇭,de-ch,39.0,found,2026-08-29T16:53:42+09:00
크로아티아,🇭🇷,en-hr,40.0,found,2026-08-29T16:53:42+09:00
아일랜드,🇮🇪,en-ie,40.0,found,2026-08-29T16:53:42+09:00
영국,🇬🇧,en-gb,40.0,found,2026-08-29T16:53:42+09:00
코스타리카,🇨🇷,es-cr,41.0,found,2026-08-29T16:53:42+09:00
오스트리아,🇦🇹,de-at,42.0,found,2026-08-29T16:53:42+09:00
싱가포르,🇸🇬,en-sg,42.0,found,2026-08-29T16:53:42+09:00
캐나다,🇨🇦,en-ca,42.0,found,2026-08-29T16:53:42+09:00
노르웨이,🇳🇴,no-no,44.0,found,2026-08-29T16:53:42+09:00
핀란드,🇫🇮,fi-fi,44.0,found,2026-08-29T16:53:42+09:00
호주,🇦🇺,en-au,45.0,found,2026-08-29T16:53:42+09:00
과테말라,🇬🇹,es-gt,46.0,found,2026-08-29T16:53:42+09:00
대만,🇹🇼,zh-hant-tw,46.0,found,2026-08-29T16:53:42+09:00
일본,🇯🇵,ja-jp,47.0,found,2026-08-29T16:53:42+09:00
키프로스,🇨🇾,en-cy,50.0,found,2026-08-29T16:53:42+09:00
룩셈부르크,🇱🇺,de-lu,52.0,found,2026-08-29T16:53:42+09:00
미국,🇺🇸,en-us,52.0,found,2026-08-29T16:53:42+09:00
카타르,🇶🇦,en-qa,55.0,found,2026-08-29T16:53:42+09:00
체코,🇨🇿,en-cz,57.0,found,2026-08-29T16:53:42+09:00
멕시코,🇲🇽,es-mx,60.0,found,2026-08-29T16:53:42+09:00
불가리아,🇧🇬,en-bg,60.0,found,2026-08-29T16:53:42+09:00
슬로바키아,🇸🇰,en-sk,61.0,found,2026-08-29T16:53:42+09:00
뉴질랜드,🇳🇿,en-nz,61.0,found,2026-08-29T16:53:42+09:00
에콰도르,🇪🇨,es-ec,63.0,found,2026-08-29T16:53:42+09:00
파나마,🇵🇦,es-pa,65.0,found,2026-08-29T16:53:42+09:00
페루,🇵🇪,es-pe,68.0,found,2026-08-29T16:53:42+09:00
니카라과,🇳🇮,es-ni,83.0,found,2026-08-29T16:53:42+09:00
파라과이,🇵🇾,es-py,87.0,found,2026-08-29T16:53:42+09:00
