price,volume,market_cap,day_change,week_change,month_change,high_52w,low_52w,from_high,ma5,ma20,ma60,cross_signal,rsi,short_ratio,foreign_net,institution_net,code,name
218000,87929,9.97,0.69,-5.63,-9.92,327000,199300,-33.33,220900.0,226725.0,232558.0,,41.6,0,0,0,259960,크래프톤
223000,78434,4.8,0.45,-0.45,-8.42,343500,176100,-35.08,221000.0,229300.0,238417.0,,41.0,0,0,0,036570,엔씨소프트
36300,92675,3.02,0.0,-6.44,-9.81,69000,34200,-47.39,37020.0,37875.0,37983.0,,41.5,0,0,0,251270,넷마블
33500,309763,2.11,-2.9,6.86,-7.33,77400,29450,-56.72,32190.0,32362.0,34697.0,,62.4,0,0,0,263750,펄어비스
8900,230851,0.95,-1.44,-9.92,6.46,18440,6780,-51.74,9132.0,8780.0,8322.0,,51.0,0,0,0,293490,카카오게임즈
11550,104085,0.76,-0.43,0.43,27.48,15420,7860,-25.1,11462.0,10198.0,9288.0,,85.7,0,0,0,225570,넥슨게임즈
15200,47951,0.52,0.53,-1.49,-9.31,34850,12570,-56.38,15024.0,15922.0,16658.0,,40.2,0,0,0,112040,위메이드
18360,31963,0.44,1.66,-1.55,-9.33,50300,17610,-63.5,18130.0,18830.0,20364.0,,44.6,0,0,0,376300,디어유
17690,40152,0.38,-1.23,-2.05,-8.63,31550,16100,-43.93,17796.0,18333.0,18220.0,,43.6,0,0,0,095660,네오위즈
16230,62032,0.2,2.33,-7.15,-27.71,58200,13100,-72.11,16260.0,17562.0,16980.0,,42.3,0,0,0,194480,데브시스터즈
